folder_name,license_name
andrewmvd_sp-500-stocks_ts,CC0-1.0
hussainaliarif_largest-covid19-world-dataset_ts,CC0-1.0
rayuga2503_time-series-data_ts,MIT
tawfikelmetwally_employee-dataset_class,CC0-1.0
mantunes_semantic-iot_reg,Attribution 4.0 International (CC BY 4.0)
ulrikthygepedersen_gdp-per-country_ts,Attribution 4.0 International (CC BY 4.0)
sudhanvahg_wind-turbine-power-generation-forecasting_ts,CC0-1.0
jayasurya666_global-ocean-acidification-trends-and-impacts_reg,Attribution 4.0 International (CC BY 4.0)
karltonkxb_store-data_reg,CC0-1.0
alexandrududa_cars-moldova_reg,CC0-1.0
tomaszlasota_cibmrt-cleaned_class,MIT
ulrikthygepedersen_kickstarter-projects_class,Attribution 4.0 International (CC BY 4.0)
saswattulo_bitcoin-price-history-btc-usd_ts,MIT
udaymalviya_bank-loan-data_class,MIT
pranav941_-world-food-wealth-bank_ts,CC0-1.0
ravipoddar26_movies-dataset-2025_reg,CC-BY-SA-4.0
mysarahmadbhat_stock-prices_ts,CC0-1.0
aniketkolte04_covid-19-diagnostic-laboratory-testing-time-series_ts,MIT
ghassenkhaled_wine-quality-data_class,CC0-1.0
muhammadawaistayyab_used-cars-prices-in-uk_reg,CC0-1.0
sumedh1507_asthma-dataset_class,CC0-1.0
kaushiksuresh147_maticpolygon-crytocurrency-historical-dataset_ts,CC0-1.0
ulrikthygepedersen_path-of-exile-currency-economy-of-an-online-game_ts,Attribution 4.0 International (CC BY 4.0)
adilbhatti_dollar-exchange-rates-asian-countries_ts,CC0-1.0
jerzyszocik_ufc-fight-forecast-complete-gold-modeling-dataset_class,CC0-1.0
yuvjeetarora_student-job-profile_class,CC0-1.0
aletbm_argentina-salary-survey-sysarmy_reg,CC-BY-NC-SA-4.0
brenda89_fifa-world-cup-2022_class,CC0-1.0
markovka_housing-issue_reg,apache-2.0
ajaxlima_myanimelist-dataset_class,CC0-1.0
hamnakaleemds_disney-princess-popularity-dataset_reg,CC-BY-NC-SA-4.0
ulrikthygepedersen_forest-fires_reg,Attribution 4.0 International (CC BY 4.0)
harshitstark_f1-grandprix-datavault_class,Attribution 4.0 International (CC BY 4.0)
olegshpagin_netflix-stock-price-prediction-dataset_ts,CC0-1.0
akshaydattatraykhare_data-for-admission-in-the-university_reg,CC0-1.0
alarchemn_total-sales-local-store_ts,apache-2.0
abdelazizsami_early-stage-diabetes-risk-prediction_class,apache-2.0
sufyan145_student-performance-dataset_reg,CC0-1.0
sahilsingh2402_bollywood-movies-revenue20152019_reg,GPL-2.0
hieudaotrung_gear-vibration_ts,Community Data License Agreement - Permissive - Version 1.0
prasertk_social-media-stock-prices_ts,CC0-1.0
hassaneskikri_online-retail-customer-churn-dataset_class,CC0-1.0
ivnlee_solar-energy-production_ts,CC0-1.0
asheniranga_sri-lanka-covid19-dataset_ts,GNU Lesser General Public License 3.0
whenamancodes_netflix-prime-video-disney-hulu_class,CC0-1.0
rajarshiroy0123_house-prices-in-india-2023_reg,CC0-1.0
dyominov_basketball_reg,apache-2.0
ulrikthygepedersen_star-wars-characters_class,Attribution 4.0 International (CC BY 4.0)
hubashaikh_movies_class,CC-BY-SA-4.0
salikhussaini49_nba-dataset_reg,CC0-1.0
olegshpagin_tesla-motors-stock-price-prediction-dataset_ts,CC0-1.0
amitgold_fifa-world_class,Community Data License Agreement - Permissive - Version 1.0
alexkhr_texas-instruments-stocks-price-2019-to-2024-10-25_ts,CC0-1.0
whenamancodes_digital-world-acquisition-corp-stocks-analysis_ts,CC0-1.0
edwincaleb_prices-for-food-crops-commodities-eda-cleaned_reg,CC0-1.0
alirezajavid1999_google-stock-2010-2023_ts,CC0-1.0
arunavakrchakraborty_australia-weather-data_class,CC0-1.0
prasertk_military-expenditure-by-country-from-19702020_ts,CC0-1.0
ammaraahmad_used-cars-dataset_reg,CC0-1.0
stealthtechnologies_predict-jewel-prices_ts,MIT
prajwaldongre_respiratory-virus-responservr-us-hospitalization_ts,CC0-1.0
foillee_fencing-points_reg,MIT
niramay_imaginary-formula-1_reg,CC0-1.0
francescodaghero_linaige_class,Attribution 4.0 International (CC BY 4.0)
kapturovalexander_covid-in-2023_ts,CC BY
ivantha_daily-solid-waste-dataset_ts,ODC Attribution License (ODC-By)
saadmansakib_smartphone-human-fall-dataset_class,CC0-1.0
agungpambudi_crm-sales-predictive-analytics_ts,CC0-1.0
hubashaikh_user-demographics-and-purchase-behavior-dataset_class,CC-BY-SA-4.0
aneelaabdullah_regression-techniques-on-house-prices_reg,CC0-1.0
sakinak_philippine-drug-war-casualties_class,CC0-1.0
kirolosayman_hand-gestures_class,apache-2.0
swekerr_prostate-cancer-dataset_class,apache-2.0
kukuroo3_mosquito-indicator-in-seoul-korea_reg,CC0-1.0
yasserh_imf-zinc-price-forecast-dataset_ts,CC0-1.0
nickprock_dpc-covid19-ita-regioni_ts,Attribution 4.0 International (CC BY 4.0)
mdmuqtadirfuad_aapl-dataset_ts,CC-BY-NC-SA-4.0
redlineracer_nfl-combine-performance-data-2009-2019_class,CC0-1.0
gzdekzlkaya_amazon-product-reviews-dataset_class,CC-BY-SA-4.0
audreyhengruizhang_foreign-aid-global-data-2012-2020_ts,apache-2.0
shivanggulati_stock-prices-updated-till-jan-24_ts,apache-2.0
kaustubhlohani_nba-rookie-data-1950-2018_class,CC-BY-NC-SA-4.0
charankakaraparthi_heart-dissease_class,CC0-1.0
innocentmfa_alibaba-baba-stock-dataset_ts,apache-2.0
ekramasif_chittagong-weather-data-2010-01-01-to-2022-08-22_ts,MIT
anuragbantu_new-delhi-air-quality_ts,CC0-1.0
faisaljanjua0555_daily-gold-price-historical-dataset_reg,CC0-1.0
azharsaleem_adnoc-historical-stock-prices-uae-abu-dhabi-dubai_ts,apache-2.0
salmanfaroz_amazon-stock-price-1997-to-2020_ts,CC0-1.0
linhanphm_bitcoin-and-s-and-p-500-historical-prices_ts,Community Data License Agreement - Sharing - Version 1.0
tosinabase_intel-stock-prices-historical-data-intc_ts,CC-BY-SA-4.0
stealthtechnologies_gdp-growth-of-switzerland_ts,U.S. Government Works
bilalwaseer_google-stocks-complete_ts,CC0-1.0
ishtiukahammed_laptop-prices-bangladesh-2023_reg,CC0-1.0
cvergnolle_gold-price-and-relevant-metrics_reg,apache-2.0
avinashok_telecomagentcustomerinteractiontext_class,CC0-1.0
speegled_ftc-cigarettes_reg,U.S. Government Works
shubham2703_smartphone-retail-outlet-sales-data_reg,Attribution 4.0 International (CC BY 4.0)
tejashvi14_tour-travels-customer-churn-prediction_class,CC0-1.0
arihurtta_stumpage-prices_ts,CC-BY-NC-SA-4.0
sandhyakrishnan02_usd-to-inr-conversion-rate-from-2010_ts,CC0-1.0
humairmunir_anaemia-prediction_class,apache-2.0
suddharshan_retail-price-optimization_reg,CC0-1.0
fridrichmrtn_user-churn-dataset_class,CC-BY-NC-SA-4.0
mayankanand2701_apple-stock-price-dataset_ts,MIT
swaroopmeher_boston-weather-2013-2023_reg,CC0-1.0
ujjwalchowdhury_energy-efficiency-data-set_reg,CC0-1.0
sohamshee_load-forecasting-sample-data_ts,Attribution 3.0 Unported (CC BY 3.0)
arashnic_learn-time-series-forecasting-from-gold-price_ts,CC0-1.0
swapnilchaitanya_nifty-50-ohlc-data-09-01-2015-to-25-04-2025_ts,Attribution 4.0 International (CC BY 4.0)
narendrageek_gold-rate-history-in-tamilnadu-india_ts,CC0-1.0
rupakroy_airline-passengers_ts,CC0-1.0
valakhorasani_tehran-house-prices-dataset_reg,apache-2.0
akashdave_marketing-cost-attribution_reg,CC-BY-NC-SA-4.0
whenamancodes_data-science-fields-salary-categorization_class,CC0-1.0
ulrikthygepedersen_which-sport-is-best_reg,Attribution 4.0 International (CC BY 4.0)
valakhorasani_tehran-house-prices-dataset_class,apache-2.0
ulrikthygepedersen_meat-consumption_reg,Attribution 4.0 International (CC BY 4.0)
drjohnpdimarco_genetic-data_class,EU ODP Legal Notice
sumandey_national-stock-exchange-banking-sectors_ts,DbCL-1.0
anandshaw2001_mobile-apps-screentime-analysis_class,CC0-1.0
nikoladyulgerov_precios-de-gasolineras-de-albacete_ts,apache-2.0
joaofilipemarques_google-advanced-data-analytics-waze-user-data_class,CC0-1.0
mhassansaboor_adobe-stock-data-1986-2024_ts,CC0-1.0
intelai_dataset-accessibility-user-reviews_class,Attribution 4.0 International (CC BY 4.0)
olegshpagin_apple-stock-price-prediction-dataset_ts,CC0-1.0
whenamancodes_election-results-who-is-winning_class,CC0-1.0
jorgesandoval_us-nuclear-powerplant-energy-generation_reg,CC0-1.0
suryaprakash8980_flightstatus_class,CC0-1.0
himanshunakrani_cryptocurrencies-dataset_reg,CC0-1.0
akashanandt_streaming-service-data_class,MIT
zakariaeyoussefi_barcelona-airbnb-listings-inside-airbnb_reg,CC0-1.0
stealthtechnologies_predict-the-age-of-a-fossil_reg,MIT
pawelkauf_bitcoin-daily_reg,apache-2.0
prajwaldongre_silver-futures-weekly-price-data-from-2012-2023_ts,CC0-1.0
asgharalikhan_mortality-rate-heart-patient-pakistan-hospital_class,CC0-1.0
tifekusimo_national-pokdex-dataset-gen1-gen9_reg,apache-2.0
sujithmandala_simple-rainfall-classification-dataset_class,CC-BY-SA-4.0
abudesai_synthetic-dataset-for-multiclass-classification_class,CC0-1.0
programmerrdai_nasdaq-100-ndx-historical-data-daily-prices_ts,MIT
meruvulikith_90000-cars-data-from-1970-to-2024_class,MIT
bilalwaseer_apple-stock-historical-data_ts,CC0-1.0
derryderajat_indeks-pencemaran-udara-dki_ts,DbCL-1.0
sid321axn_heart-statlog-cleveland-hungary-final_class,CC0-1.0
iamhungundji_covid19-symptoms-checker_class,GPL-2.0
emanafi_churndataset_class,apache-2.0
prasertk_global-landocean-temperature-index_ts,CC0-1.0
ravikumarrn_software-defects-dataset-1k_class,Attribution 4.0 International (CC BY 4.0)
bhavyamashru_car-scarp-sell_class,CC0-1.0
tamilselvanarjunan_dataset1_class,apache-2.0
canozensoy_industrial-iot-dataset-synthetic_class,apache-2.0
mcfly1_vehicle-collision-data-in-seattle-2005-2019_reg,CC0-1.0
